id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
122,-101.000000,5957.000000,-31.000000,-99.000000,nan,nan,nan
123,-101.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan
124,-99.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan
125,-99.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan
126,-97.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan
127,-97.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan
128,-95.000000,5957.000000,-31.000000,-83.000000,nan,nan,nan
129,-97.000000,5957.000000,-31.000000,-91.000000,nan,nan,nan
130,-97.000000,5957.000000,-31.000000,-91.000000,nan,nan,nan
131,-99.000000,5957.000000,-31.000000,-85.000000,nan,nan,nan
132,-105.000000,5957.000000,129.000000,-75.000000,nan,nan,nan
133,-105.000000,5957.000000,129.000000,-75.000000,nan,nan,nan
134,-107.000000,5957.000000,129.000000,-89.000000,nan,nan,nan
135,-101.000000,21511.000000,5957.000000,241.000000,129.000000,-99.000000,nan
136,-103.000000,21511.000000,5957.000000,241.000000,129.000000,-99.000000,nan
137,-103.000000,21511.000000,5957.000000,241.000000,129.000000,-99.000000,nan
138,-105.000000,21511.000000,5957.000000,241.000000,129.000000,-101.000000,nan
139,-105.000000,5957.000000,-31.000000,nan,nan,nan,nan
140,-107.000000,5957.000000,-47.000000,nan,nan,nan,nan
141,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan
142,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan
143,-111.000000,5957.000000,-47.000000,nan,nan,nan,nan
144,-111.000000,5957.000000,-47.000000,nan,nan,nan,nan
145,-111.000000,5957.000000,-47.000000,nan,nan,nan,nan
146,-109.000000,5957.000000,-47.000000,nan,nan,nan,nan
147,-109.000000,5957.000000,-47.000000,nan,nan,nan,nan
148,-109.000000,-47.000000,nan,nan,nan,nan,nan
149,-113.000000,-47.000000,nan,nan,nan,nan,nan
150,-113.000000,-47.000000,nan,nan,nan,nan,nan
151,-113.000000,-47.000000,nan,nan,nan,nan,nan
152,-113.000000,-47.000000,nan,nan,nan,nan,nan
153,-113.000000,-31.000000,nan,nan,nan,nan,nan
154,-113.000000,-31.000000,nan,nan,nan,nan,nan
155,-107.000000,21461.000000,-31.000000,nan,nan,nan,nan
156,-107.000000,-31.000000,nan,nan,nan,nan,nan
157,-109.000000,-31.000000,nan,nan,nan,nan,nan
158,-113.000000,-31.000000,nan,nan,nan,nan,nan
159,-111.000000,-31.000000,nan,nan,nan,nan,nan
160,-111.000000,21557.000000,303.000000,-113.000000,nan,nan,nan
161,-113.000000,-31.000000,nan,nan,nan,nan,nan
162,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan
163,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan
164,-113.000000,-31.000000,nan,nan,nan,nan,nan
165,-113.000000,-47.000000,nan,nan,nan,nan,nan
166,-113.000000,-47.000000,nan,nan,nan,nan,nan
167,-113.000000,-47.000000,nan,nan,nan,nan,nan
168,-113.000000,-47.000000,nan,nan,nan,nan,nan
169,-113.000000,-47.000000,nan,nan,nan,nan,nan
170,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan
171,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan
172,-113.000000,-31.000000,nan,nan,nan,nan,nan
173,-109.000000,21557.000000,129.000000,-113.000000,nan,nan,nan
174,-109.000000,21557.000000,129.000000,-113.000000,nan,nan,nan
175,-111.000000,-47.000000,nan,nan,nan,nan,nan
176,-111.000000,-47.000000,nan,nan,nan,nan,nan
177,-111.000000,-47.000000,nan,nan,nan,nan,nan
178,-109.000000,-47.000000,nan,nan,nan,nan,nan
179,-101.000000,-31.000000,nan,nan,nan,nan,nan
180,-101.000000,-31.000000,nan,nan,nan,nan,nan
181,-103.000000,-31.000000,nan,nan,nan,nan,nan
182,-103.000000,-31.000000,nan,nan,nan,nan,nan
183,-103.000000,21511.000000,-31.000000,nan,nan,nan,nan
184,-105.000000,21511.000000,-31.000000,nan,nan,nan,nan
185,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan
186,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan
187,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan
188,-107.000000,-31.000000,nan,nan,nan,nan,nan
189,-105.000000,-31.000000,nan,nan,nan,nan,nan
190,-105.000000,21557.000000,129.000000,-113.000000,nan,nan,nan
191,-107.000000,-31.000000,nan,nan,nan,nan,nan
192,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan
193,-107.000000,5957.000000,-31.000000,nan,nan,nan,nan
194,-109.000000,-31.000000,nan,nan,nan,nan,nan
195,-109.000000,-31.000000,nan,nan,nan,nan,nan
196,-109.000000,-31.000000,nan,nan,nan,nan,nan
197,-109.000000,21461.000000,-31.000000,nan,nan,nan,nan
198,-113.000000,21461.000000,-31.000000,nan,nan,nan,nan
199,-113.000000,21461.000000,-31.000000,nan,nan,nan,nan
200,-113.000000,5957.000000,303.000000,-75.000000,nan,nan,nan
201,-111.000000,5957.000000,303.000000,-75.000000,nan,nan,nan
202,-111.000000,21461.000000,-31.000000,nan,nan,nan,nan
203,-111.000000,21461.000000,-31.000000,nan,nan,nan,nan
204,-113.000000,-31.000000,nan,nan,nan,nan,nan
205,-113.000000,-31.000000,nan,nan,nan,nan,nan
206,-113.000000,-31.000000,nan,nan,nan,nan,nan
207,-109.000000,21557.000000,303.000000,-31.000000,-113.000000,nan,nan
208,-107.000000,21557.000000,303.000000,-31.000000,-113.000000,nan,nan
209,-107.000000,21557.000000,303.000000,-31.000000,-111.000000,nan,nan
210,-107.000000,-31.000000,nan,nan,nan,nan,nan
211,-109.000000,-31.000000,nan,nan,nan,nan,nan
212,-109.000000,-47.000000,nan,nan,nan,nan,nan
213,-113.000000,21461.000000,-47.000000,nan,nan,nan,nan
214,-111.000000,21461.000000,-47.000000,nan,nan,nan,nan
215,-113.000000,-31.000000,nan,nan,nan,nan,nan
216,-113.000000,-31.000000,nan,nan,nan,nan,nan
217,-95.000000,-87.000000,nan,nan,nan,nan,nan
218,-95.000000,-87.000000,nan,nan,nan,nan,nan
219,-95.000000,-87.000000,nan,nan,nan,nan,nan
220,-97.000000,-87.000000,nan,nan,nan,nan,nan
221,-97.000000,-87.000000,nan,nan,nan,nan,nan
222,-97.000000,-87.000000,nan,nan,nan,nan,nan
223,-97.000000,-87.000000,nan,nan,nan,nan,nan
224,-97.000000,-87.000000,nan,nan,nan,nan,nan
225,-97.000000,-85.000000,nan,nan,nan,nan,nan
226,-97.000000,-85.000000,nan,nan,nan,nan,nan
227,-97.000000,-85.000000,-95.000000,nan,nan,nan,nan
228,-97.000000,-85.000000,-95.000000,nan,nan,nan,nan
229,-95.000000,-85.000000,-95.000000,nan,nan,nan,nan
230,-95.000000,-85.000000,-95.000000,nan,nan,nan,nan
231,-95.000000,-83.000000,-83.000000,nan,nan,nan,nan
232,-95.000000,-83.000000,-83.000000,nan,nan,nan,nan
233,-95.000000,-83.000000,-83.000000,nan,nan,nan,nan
