id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
41,-99.000000,21557.000000,303.000000,-31.000000,-87.000000,nan,nan
42,-99.000000,21557.000000,303.000000,-31.000000,-87.000000,nan,nan
43,-99.000000,21557.000000,303.000000,-79.000000,nan,nan,nan
44,-99.000000,21557.000000,303.000000,193.000000,-93.000000,nan,nan
45,-99.000000,21557.000000,303.000000,193.000000,-93.000000,nan,nan
46,-99.000000,21557.000000,303.000000,193.000000,-93.000000,nan,nan
47,-99.000000,21557.000000,303.000000,193.000000,-93.000000,nan,nan
48,-99.000000,21557.000000,5957.000000,303.000000,193.000000,-97.000000,nan
49,-99.000000,21557.000000,5957.000000,303.000000,193.000000,-97.000000,nan
50,-99.000000,21557.000000,303.000000,193.000000,-97.000000,nan,nan
51,-99.000000,21557.000000,303.000000,193.000000,-97.000000,nan,nan
52,-99.000000,21557.000000,303.000000,193.000000,-97.000000,nan,nan
53,-99.000000,21557.000000,303.000000,-99.000000,nan,nan,nan
54,-99.000000,21557.000000,303.000000,-99.000000,nan,nan,nan
55,-99.000000,21557.000000,303.000000,-99.000000,nan,nan,nan
56,-99.000000,21557.000000,303.000000,-99.000000,nan,nan,nan
57,-99.000000,21557.000000,177.000000,-103.000000,nan,nan,nan
58,-99.000000,21557.000000,177.000000,-103.000000,nan,nan,nan
59,-101.000000,21557.000000,177.000000,-103.000000,nan,nan,nan
60,-101.000000,21557.000000,177.000000,-99.000000,nan,nan,nan
61,-101.000000,21557.000000,177.000000,-99.000000,nan,nan,nan
62,-105.000000,21557.000000,143.000000,-87.000000,nan,nan,nan
63,-105.000000,21557.000000,303.000000,-97.000000,nan,nan,nan
64,-77.000000,-55.000000,nan,nan,nan,nan,nan
65,-77.000000,-55.000000,nan,nan,nan,nan,nan
66,-77.000000,-51.000000,-65.000000,nan,nan,nan,nan
67,-77.000000,-51.000000,-65.000000,nan,nan,nan,nan
68,-77.000000,-49.000000,-61.000000,-63.000000,nan,nan,nan
69,-77.000000,-49.000000,-61.000000,-63.000000,nan,nan,nan
70,-75.000000,-47.000000,-53.000000,-57.000000,nan,nan,nan
71,-75.000000,-47.000000,-53.000000,-57.000000,nan,nan,nan
72,-75.000000,-43.000000,-53.000000,-65.000000,nan,nan,nan
73,-75.000000,-43.000000,-53.000000,-65.000000,nan,nan,nan
74,-75.000000,-45.000000,-59.000000,-73.000000,nan,nan,nan
75,-75.000000,-45.000000,-59.000000,-73.000000,nan,nan,nan
76,-75.000000,-45.000000,-59.000000,-73.000000,nan,nan,nan
77,-75.000000,-53.000000,-55.000000,-59.000000,nan,nan,nan
78,-75.000000,-53.000000,-55.000000,-59.000000,nan,nan,nan
79,-77.000000,-55.000000,-63.000000,-63.000000,nan,nan,nan
80,-77.000000,-65.000000,nan,nan,nan,nan,nan
81,-77.000000,-65.000000,nan,nan,nan,nan,nan
82,-89.000000,5957.000000,-31.000000,nan,nan,nan,nan
83,-89.000000,5957.000000,-31.000000,nan,nan,nan,nan
84,-93.000000,5957.000000,-73.000000,-81.000000,nan,nan,nan
85,-93.000000,5957.000000,-73.000000,-81.000000,nan,nan,nan
86,-93.000000,5957.000000,285.000000,-73.000000,-89.000000,nan,nan
87,-93.000000,5957.000000,285.000000,-73.000000,-89.000000,nan,nan
88,-89.000000,5957.000000,5957.000000,75.000000,-47.000000,-87.000000,nan
89,-91.000000,5957.000000,5957.000000,75.000000,-47.000000,-87.000000,nan
90,-91.000000,5957.000000,5957.000000,75.000000,-47.000000,-91.000000,nan
91,-91.000000,5957.000000,5957.000000,75.000000,-47.000000,-91.000000,nan
92,-91.000000,5957.000000,5957.000000,75.000000,-47.000000,-85.000000,-85.000000
93,-91.000000,5957.000000,5957.000000,75.000000,-47.000000,-85.000000,-85.000000
94,-91.000000,5957.000000,5957.000000,75.000000,-47.000000,-85.000000,nan
95,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-85.000000,nan
96,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-81.000000,-85.000000
97,-95.000000,5957.000000,5957.000000,75.000000,-47.000000,-81.000000,-85.000000
98,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-81.000000,-85.000000
99,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-87.000000,-87.000000
100,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-87.000000,-87.000000
101,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-85.000000,-85.000000
102,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-85.000000,-85.000000
103,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-89.000000,-91.000000
104,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-89.000000,-91.000000
105,-93.000000,5957.000000,5957.000000,75.000000,-47.000000,-89.000000,-91.000000
106,-97.000000,5957.000000,5957.000000,75.000000,-47.000000,-89.000000,-91.000000
107,-93.000000,21557.000000,241.000000,-87.000000,nan,nan,nan
108,-95.000000,21557.000000,241.000000,-87.000000,nan,nan,nan
109,-93.000000,21557.000000,21557.000000,69.000000,63.000000,-93.000000,-95.000000
110,-93.000000,21557.000000,21557.000000,69.000000,63.000000,-93.000000,-95.000000
111,-91.000000,21557.000000,193.000000,-97.000000,nan,nan,nan
112,-91.000000,21557.000000,193.000000,-97.000000,nan,nan,nan
113,-93.000000,21557.000000,193.000000,-97.000000,nan,nan,nan
114,-89.000000,21557.000000,21557.000000,69.000000,63.000000,-99.000000,-99.000000
115,-89.000000,21557.000000,21557.000000,69.000000,63.000000,-99.000000,-99.000000
116,-91.000000,21557.000000,21557.000000,69.000000,63.000000,-93.000000,-93.000000
117,-91.000000,21557.000000,21557.000000,69.000000,63.000000,-93.000000,-93.000000
118,-91.000000,21461.000000,193.000000,171.000000,-91.000000,nan,nan
119,-89.000000,21461.000000,193.000000,171.000000,-91.000000,nan,nan
120,-89.000000,21461.000000,193.000000,171.000000,-109.000000,nan,nan
121,-93.000000,21461.000000,193.000000,171.000000,-109.000000,nan,nan
122,-89.000000,21461.000000,193.000000,-103.000000,nan,nan,nan
123,-89.000000,21461.000000,193.000000,-103.000000,nan,nan,nan
124,-93.000000,21461.000000,193.000000,-103.000000,nan,nan,nan
125,-95.000000,21461.000000,193.000000,-103.000000,nan,nan,nan
