id,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Diff
793,-61.000000,-109.000000,nan,nan,nan,nan,nan,4.000000
794,-61.000000,-109.000000,nan,nan,nan,nan,nan,0.000000
795,-61.000000,-109.000000,nan,nan,nan,nan,nan,0.000000
796,-61.000000,-109.000000,nan,nan,nan,nan,nan,0.000000
797,-61.000000,-109.000000,nan,nan,nan,nan,nan,0.000000
798,-61.000000,-109.000000,nan,nan,nan,nan,nan,0.000000
799,-61.000000,-109.000000,nan,nan,nan,nan,nan,0.000000
800,-83.000000,-91.000000,nan,nan,nan,nan,nan,-8.000000
801,-83.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
802,-83.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
803,-83.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
804,-83.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
805,-83.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
806,-83.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
807,-83.000000,-81.000000,nan,nan,nan,nan,nan,0.000000
808,-83.000000,-81.000000,nan,nan,nan,nan,nan,0.000000
809,-83.000000,-81.000000,nan,nan,nan,nan,nan,0.000000
810,-87.000000,-85.000000,nan,nan,nan,nan,nan,-4.000000
811,-87.000000,-85.000000,nan,nan,nan,nan,nan,0.000000
812,-87.000000,-85.000000,nan,nan,nan,nan,nan,0.000000
813,-93.000000,-91.000000,nan,nan,nan,nan,nan,-6.000000
814,-93.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
815,-93.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
816,-99.000000,-93.000000,nan,nan,nan,nan,nan,-6.000000
817,-99.000000,-93.000000,nan,nan,nan,nan,nan,0.000000
818,-103.000000,-95.000000,nan,nan,nan,nan,nan,-4.000000
819,-103.000000,-95.000000,nan,nan,nan,nan,nan,0.000000
820,-103.000000,-95.000000,nan,nan,nan,nan,nan,0.000000
821,-103.000000,-93.000000,nan,nan,nan,nan,nan,0.000000
822,-101.000000,-105.000000,nan,nan,nan,nan,nan,2.000000
823,-89.000000,-107.000000,nan,nan,nan,nan,nan,12.000000
824,-89.000000,-103.000000,nan,nan,nan,nan,nan,0.000000
825,-89.000000,-103.000000,nan,nan,nan,nan,nan,0.000000
826,-85.000000,-103.000000,nan,nan,nan,nan,nan,4.000000
827,-83.000000,-103.000000,nan,nan,nan,nan,nan,2.000000
828,-83.000000,-103.000000,nan,nan,nan,nan,nan,0.000000
829,-85.000000,-103.000000,nan,nan,nan,nan,nan,-2.000000
830,-85.000000,-103.000000,nan,nan,nan,nan,nan,0.000000
831,-85.000000,-103.000000,nan,nan,nan,nan,nan,0.000000
832,-65.000000,-103.000000,nan,nan,nan,nan,nan,0.000000
833,-65.000000,-103.000000,nan,nan,nan,nan,nan,0.000000
834,-65.000000,-99.000000,nan,nan,nan,nan,nan,0.000000
835,-65.000000,-99.000000,nan,nan,nan,nan,nan,0.000000
836,-65.000000,-99.000000,nan,nan,nan,nan,nan,0.000000
837,-71.000000,-101.000000,nan,nan,nan,nan,nan,-6.000000
838,-71.000000,-101.000000,nan,nan,nan,nan,nan,0.000000
839,-71.000000,-101.000000,nan,nan,nan,nan,nan,0.000000
840,-75.000000,-95.000000,nan,nan,nan,nan,nan,-4.000000
841,-75.000000,-95.000000,nan,nan,nan,nan,nan,0.000000
842,-79.000000,-97.000000,nan,nan,nan,nan,nan,-4.000000
843,-79.000000,-97.000000,nan,nan,nan,nan,nan,0.000000
844,-79.000000,-97.000000,nan,nan,nan,nan,nan,0.000000
845,-83.000000,-91.000000,nan,nan,nan,nan,nan,-4.000000
846,-83.000000,-91.000000,nan,nan,nan,nan,nan,0.000000
847,-87.000000,-93.000000,nan,nan,nan,nan,nan,-4.000000
848,-87.000000,-93.000000,nan,nan,nan,nan,nan,0.000000
849,-87.000000,-93.000000,nan,nan,nan,nan,nan,0.000000
850,-83.000000,-87.000000,nan,nan,nan,nan,nan,4.000000
851,-83.000000,-87.000000,nan,nan,nan,nan,nan,0.000000
852,-75.000000,-83.000000,nan,nan,nan,nan,nan,8.000000
853,-75.000000,-83.000000,nan,nan,nan,nan,nan,0.000000
854,-75.000000,-83.000000,nan,nan,nan,nan,nan,0.000000
855,-75.000000,-79.000000,nan,nan,nan,nan,nan,0.000000
856,-75.000000,-79.000000,nan,nan,nan,nan,nan,0.000000
857,-75.000000,-79.000000,nan,nan,nan,nan,nan,0.000000
858,-77.000000,-75.000000,nan,nan,nan,nan,nan,-2.000000
859,-77.000000,-75.000000,nan,nan,nan,nan,nan,0.000000
860,-81.000000,-77.000000,nan,nan,nan,nan,nan,-4.000000
861,-81.000000,-77.000000,nan,nan,nan,nan,nan,0.000000
862,-81.000000,-75.000000,nan,nan,nan,nan,nan,0.000000
863,-81.000000,-75.000000,nan,nan,nan,nan,nan,0.000000
864,-81.000000,-75.000000,nan,nan,nan,nan,nan,0.000000
865,-85.000000,-79.000000,nan,nan,nan,nan,nan,-4.000000
866,-85.000000,-5.000000,nan,nan,nan,nan,nan,6.000000
867,-89.000000,-5.000000,nan,nan,nan,nan,nan,-4.000000
868,-89.000000,-5.000000,nan,nan,nan,nan,nan,0.000000
869,-97.000000,-5.000000,nan,nan,nan,nan,nan,-8.000000
870,-99.000000,-5.000000,nan,nan,nan,nan,nan,-2.000000
871,-99.000000,21461.000000,-5.000000,-81.000000,nan,nan,nan,0.000000
872,-103.000000,21461.000000,-5.000000,-67.000000,nan,nan,nan,-4.000000
873,-95.000000,21461.000000,-5.000000,-79.000000,nan,nan,nan,8.000000
874,-91.000000,21461.000000,-5.000000,-75.000000,nan,nan,nan,4.000000
875,-95.000000,21461.000000,-5.000000,-75.000000,nan,nan,nan,-4.000000
876,-93.000000,21461.000000,-5.000000,-75.000000,nan,nan,nan,2.000000
877,-89.000000,21461.000000,-5.000000,-75.000000,nan,nan,nan,4.000000
878,-89.000000,-5.000000,nan,nan,nan,nan,nan,0.000000
879,-91.000000,-5.000000,nan,nan,nan,nan,nan,-2.000000
880,-89.000000,-5.000000,nan,nan,nan,nan,nan,2.000000
881,-85.000000,-5.000000,nan,nan,nan,nan,nan,4.000000
882,-81.000000,-5.000000,nan,nan,nan,nan,nan,4.000000
883,-85.000000,-5.000000,nan,nan,nan,nan,nan,-4.000000
